iter	RMSE
0	740192.172
1	723348.8254
2	707085.9907
3	691311.4885
4	676204.775
5	661366.5161
6	647191.9313
7	633646.7082
8	620683.0615
9	608213.8652
10	595645.8913
11	583745.5714
12	572292.636
13	561224.5088
14	550215.481
15	539690.763
16	529522.089
17	519694.6203
18	510134.3273
19	501079.4757
20	492258.3959
21	483757.3689
22	475598.8521
23	467921.497
24	460369.1654
25	452970.849
26	446122.3402
27	439501.909
28	433086.7162
29	426809.9355
30	420725.72
31	414967.9563
32	409361.5775
33	404286.6977
34	399311.5959
35	394478.1166
36	389855.257
37	385401.403
38	381004.0527
39	376823.1471
40	372806.8344
41	368979.2818
42	365359.1118
43	361854.8505
44	358446.9098
45	355226.0828
46	352220.4766
47	349281.284
48	346449.4078
49	343840.8064
50	341258.8434
51	338893.0152
52	336550.8123
53	334361.9911
54	332162.4201
55	330003.0973
56	328103.5964
57	326144.4317
58	324305.6178
59	322603.3363
60	320640.0797
61	318703.2608
62	316899.9359
63	315285.4053
64	313645.1724
65	312057.762
66	310495.9955
67	309022.1431
68	307651.1875
69	306389.0284
70	305130.5287
71	303970.432
72	302845.7864
73	301733.8958
74	300626.6103
75	299549.1089
76	298529.5746
77	297596.9628
78	296696.7974
79	295827.7841
80	295008.8122
81	294171.873
82	293344.7754
83	292612.9972
84	291932.4738
85	291194.4514
86	290529.5185
87	289872.6579
88	289266.4062
89	288657.5118
90	288103.5933
91	287542.6391
92	287027.6105
93	286360.9151
94	285833.5951
95	285301.1469
96	284768.1565
97	284277.413
98	283843.2461
99	283461.829
100	283022.0159
101	282615.1205
102	282211.1015
103	281756.0378
104	281313.6865
105	280892.3372
106	280389.6717
107	280026.8303
108	279611.0175
109	279210.7039
110	278831.316
111	278462.2926
112	278099.6081
113	277749.4584
114	277362.8369
115	277041.222
116	276733.9489
117	276434.7634
118	276074.6568
119	275748.8785
120	275487.7066
121	275224.6064
122	274935.1113
123	274650.3438
124	274323.781
125	274077.7675
126	273804.9827
127	273599.4367
128	273372.0803
129	273159.0537
130	272970.5515
131	272773.554
132	272523.6183
133	272254.6379
134	272054.1853
135	271835.224
136	271680.1589
137	271510.1006
138	271285.9253
139	271082.0384
140	270897.8602
141	270730.4204
142	270544.6329
143	270346.4013
144	270115.1891
145	269971.0172
146	269810.0005
147	269616.4941
148	269438.7491
149	269268.3642
150	269134.8494
151	268949.2718
152	268779.7064
153	268610.9857
154	268489.5817
155	268309.5282
156	268188.4288
157	268097.832
158	267900.565
159	267729.4191
160	267555.8478
161	267417.1339
162	267249.6271
163	267143.1677
164	266968.0053
165	266817.3722
166	266514.3943
167	266386.8498
168	266229.0562
169	265995.4797
170	265800.4381
171	265619.4079
172	265420.5513
173	265184.814
174	265082.7386
175	264888.3105
176	264666.5479
177	264388.549
178	264266.3629
179	264102.9734
180	263963.1065
181	263808.3373
182	263615.9438
183	263471.6226
184	263237.9318
185	263062.9458
186	262917.8341
187	262778.9064
188	262648.9903
189	262536.9032
190	262404.0169
191	262187.51
192	262064.8495
193	261947.5684
194	261839.7478
195	261706.0354
196	261578.6735
197	261448.6289
198	261299.6986
199	261134.4753
200	260987.2179
201	260899.2925
202	260745.1621
203	260551.3914
204	260453.1412
205	260349.4631
206	260156.2152
207	260045.8069
208	259838.2663
209	259760.189
210	259569.6103
211	259389.3375
212	259264.9899
213	259103.4129
214	258985.8153
215	258915.841
216	258769.0031
217	258613.7188
218	258465.9827
219	258336.8159
220	258242.3326
221	258103.7394
222	257945.7107
223	257819.0204
224	257735.6853
225	257634.1645
226	257531.4139
227	257423.9371
228	257339.3359
229	257236.9736
230	257069.8464
231	256962.2013
232	256860.1831
233	256759.8853
234	256684.0101
235	256553.6995
236	256466.2738
237	256401.8129
238	256311.5968
239	256214.1579
240	256051.5212
241	255990.9032
242	255895.7236
243	255736.9858
244	255635.9711
245	255475.1837
246	255382.356
247	255250.6833
248	255184.1173
249	255081.3027
250	254988.0057
251	254930.4207
252	254843.6807
253	254747.7752
254	254619.0125
