iter	Passed	Remaining
0	161	323207
1	217	217165
2	273	182167
3	335	167600
4	396	158049
5	456	151665
6	513	146280
7	567	141308
8	624	138224
9	681	135711
10	740	133932
11	810	134292
12	882	134873
13	949	134705
14	1018	134726
15	1074	133295
16	1147	133903
17	1213	133611
18	1264	131819
19	1313	130070
20	1363	128500
21	1420	127741
22	1481	127313
23	1533	126291
24	1591	125745
25	1646	124985
26	1701	124330
27	1755	123617
28	1809	123007
29	1864	122427
30	1922	122102
31	1976	121528
32	2030	121021
33	2088	120753
34	2146	120529
35	2204	120249
36	2257	119751
37	2311	119356
38	2364	118879
39	2423	118759
40	2480	118499
41	2534	118171
42	2593	118047
43	2648	117745
44	2700	117340
45	2754	116997
46	2810	116775
47	2859	116302
48	2915	116083
49	2972	115930
50	3025	115621
51	3081	115449
52	3139	115338
53	3200	115336
54	3260	115296
55	3320	115262
56	3386	115447
57	3443	115296
58	3496	115026
59	3545	114641
60	3597	114356
61	3648	114031
62	3704	113886
63	3756	113620
64	3808	113373
65	3869	113382
66	3924	113238
67	3974	112916
68	4031	112823
69	4081	112542
70	4138	112445
71	4191	112233
72	4239	111918
73	4296	111832
74	4351	111689
75	4407	111588
76	4463	111470
77	4511	111179
78	4566	111029
79	4616	110797
80	4689	111098
81	4748	111065
82	4805	111000
83	4861	110888
84	4914	110714
85	4963	110476
86	5014	110266
87	5071	110195
88	5129	110134
89	5191	110181
90	5247	110073
91	5291	109747
92	5342	109553
93	5394	109385
94	5450	109305
95	5501	109121
96	5549	108878
97	5602	108726
98	5653	108560
99	5710	108506
100	5769	108484
101	5829	108466
102	5883	108356
103	5940	108299
104	6002	108335
105	6060	108288
106	6116	108207
107	6176	108196
108	6233	108147
109	6283	107961
110	6334	107795
111	6382	107595
112	6443	107603
113	6494	107446
114	6553	107421
115	6608	107333
116	6661	107217
117	6719	107173
118	6780	107176
119	6834	107069
120	6894	107071
121	6945	106920
122	6995	106756
123	7054	106726
124	7105	106588
125	7158	106473
126	7212	106372
127	7266	106266
128	7322	106199
129	7371	106041
130	7427	105975
131	7481	105873
132	7536	105790
133	7588	105675
134	7640	105553
135	7695	105474
136	7745	105321
137	7794	105168
138	7844	105030
139	7898	104937
140	7953	104856
141	8004	104732
142	8059	104661
143	8104	104453
144	8156	104340
145	8211	104275
146	8279	104362
147	8337	104325
148	8401	104369
149	8456	104293
150	8510	104205
151	8572	104217
152	8621	104079
153	8677	104022
154	8736	103988
155	8794	103951
156	8844	103826
157	8899	103756
158	8952	103657
159	9005	103567
160	9059	103476
161	9115	103422
162	9171	103358
163	9231	103343
164	9294	103370
165	9351	103320
166	9411	103295
167	9470	103269
168	9524	103196
169	9590	103236
170	9655	103271
171	9715	103256
172	9769	103173
173	9825	103109
174	9882	103056
175	9952	103146
176	10007	103071
177	10081	103192
178	10135	103106
179	10183	102962
180	10244	102950
181	10305	102939
182	10360	102865
183	10422	102863
184	10491	102934
185	10550	102896
186	10609	102858
187	10663	102778
188	10718	102706
189	10770	102601
190	10823	102512
191	10875	102411
192	10922	102266
193	10974	102166
194	11031	102114
195	11087	102047
196	11155	102099
197	11207	102003
198	11264	101947
199	11327	101950
200	11385	101902
201	11443	101861
202	11499	101792
203	11560	101780
204	11623	101772
205	11676	101691
206	11738	101678
207	11791	101591
208	11851	101557
209	11918	101591
210	11983	101604
211	12038	101529
212	12100	101519
213	12161	101498
214	12216	101422
215	12271	101354
216	12333	101335
217	12391	101287
218	12444	101206
219	12504	101173
220	12565	101145
221	12625	101118
222	12682	101059
223	12739	101009
224	12798	100968
225	12855	100910
226	12916	100885
227	12975	100846
228	13033	100798
229	13089	100728
230	13151	100711
231	13213	100695
232	13267	100617
233	13327	100581
234	13383	100521
235	13438	100449
236	13494	100381
237	13545	100279
238	13599	100204
239	13655	100138
240	13721	100146
241	13775	100073
242	13832	100018
243	13884	99925
244	13939	99852
245	13989	99748
246	14045	99683
247	14097	99589
248	14151	99517
249	14210	99474
250	14265	99406
251	14322	99349
252	14383	99317
253	14439	99260
254	14493	99179
255	14544	99087
256	14597	98999
257	14654	98948
258	14702	98830
259	14755	98747
260	14812	98690
261	14878	98696
262	14936	98651
263	14998	98626
264	15057	98583
265	15106	98478
266	15164	98424
267	15226	98401
268	15292	98406
269	15352	98367
270	15413	98340
271	15466	98256
272	15518	98170
273	15569	98075
274	15622	97998
275	15682	97957
276	15742	97924
277	15795	97843
278	15854	97796
279	15908	97722
280	15969	97692
281	16026	97634
282	16080	97560
283	16131	97470
284	16186	97400
285	16237	97314
286	16291	97238
287	16339	97131
288	16397	97080
289	16451	97009
290	16506	96939
291	16560	96868
292	16630	96886
293	16685	96818
294	16745	96783
295	16805	96747
296	16866	96709
297	16920	96642
298	16975	96570
299	17024	96473
300	17081	96414
301	17139	96365
302	17191	96282
303	17249	96232
304	17303	96161
305	17361	96112
306	17426	96100
307	17489	96078
